,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
93,The Hills,spotify:track:2HNcNd5RPZ7DSRNbIl6JsP,0.587,0.566,-7.017,0.0528,0.0843,0.145
94,Only,spotify:track:4MRT0dDbhqFKl67WzhUbSw,0.573,0.495,-7.245,0.592,0.405,0.0969
95,Exchange,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,0.525,0.433,-10.598,0.185,0.107,0.135
96,Don't,spotify:track:3pXF1nA74528Edde4of9CC,0.765,0.356,-5.556,0.195,0.223,0.0963
97,Rambo,spotify:track:5RqsqQU0erB0OgLbwem6pU,0.634,0.562,-8.923,0.163,0.309,0.11
98,Blessings,spotify:track:1bzM1cd6oqFozdr4wK6HdR,0.79,0.621,-7.634,0.275,0.333,0.122
99,Saved (feat. E-40),spotify:track:1omIb7BrAk7qwRrCSHJTc5,0.776,0.715,-5.553,0.11,0.257,0.12
100,Teenage Crime - Radio Edit,spotify:track:1E2tRwT1GIHk1a8oYQMfjC,0.646,0.833,-4.882,0.0375,0.0195,0.104
101,What Do You Mean?,spotify:track:6nRwc5GgNvBMkKaynhQzrm,0.841,0.571,-8.066,0.102,0.65,0.0895
102,Call Me A Spaceman - Radio Edit,spotify:track:1UPyhGntpIx9jGJ5UVtKVS,0.581,0.877,-3.595,0.0486,0.0172,0.248
103,Apollo - Radio Edit,spotify:track:5v54ZQ0glzbB9XUPTaX0cj,0.56,0.742,-6.122,0.0666,0.015,0.639
104,Nothing Like This,spotify:track:4PFQ4EQBtJUp2jQjpmYkVA,0.724,0.846,-4.683,0.0373,0.1,0.054
105,Into You,spotify:track:7yHEDfrJNd0zWOfXwydNH0,0.636,0.727,-5.852,0.106,0.0161,0.151
106,"WDYW (feat. Lil Uzi Vert, A$AP Ferg & Rich The Kid)",spotify:track:4afMG2PlvFfX976bZJvHmb,0.72,0.816,-3.313,0.143,0.207,0.813
107,Cool Girl,spotify:track:5LWVXN39UpNyhkYnBvDfyq,0.674,0.71,-7.042,0.111,0.343,0.129
108,Dancing On My Own,spotify:track:02WacdrRpm4zlP8H7X6bnQ,0.608,0.174,-8.796,0.0332,0.851,0.0855
109,Planez,spotify:track:08zJpaUQVi9FrKv2e32Bah,0.688,0.556,-7.738,0.264,0.7,0.108
110,No Less,spotify:track:3Np3DKcOQuraKONOVVMxGJ,0.557,0.275,-13.659,0.111,0.237,0.636
